Date,HousePrice
1/31/2000,113226.80143880405
2/29/2000,113288.33180745968
3/31/2000,113318.17500021357
4/30/2000,113466.28941223402
5/31/2000,113562.21062820836
6/30/2000,113669.76166238856
7/31/2000,113740.43933247314
8/31/2000,113949.5316529259
9/30/2000,114223.72535622852
10/31/2000,114517.52917997958
11/30/2000,114856.56086063292
12/31/2000,115233.14369471376
1/31/2001,115457.9807399794
2/28/2001,115424.00763474032
3/31/2001,115199.0257794109
4/30/2001,115067.21531820316
5/31/2001,115111.47161424404
6/30/2001,115245.66655015732
7/31/2001,115403.3048
8/31/2001,115544.90013192706
9/30/2001,115693.81932360302
10/31/2001,115849.58554299704
11/30/2001,115963.3941846284
12/31/2001,116055.3382868786
1/31/2002,116086.7103100402
2/28/2002,116173.6798712276
3/31/2002,116391.61324916146
4/30/2002,116774.85975513888
5/31/2002,117226.36915798415
6/30/2002,117732.224144506
7/31/2002,118246.42025119522
8/31/2002,118789.79925684734
9/30/2002,119268.70342905952
10/31/2002,119679.6792071031
11/30/2002,120029.47512616012
12/31/2002,120327.5127192675
1/31/2003,120556.04102397876
2/28/2003,120706.87421949144
3/31/2003,120877.36942563578
4/30/2003,121077.36183159282
5/31/2003,121304.26047625393
6/30/2003,121532.9193437413
7/31/2003,121758.3950595475
8/31/2003,122020.5164308177
9/30/2003,122258.27157737168
10/31/2003,122500.38310577442
11/30/2003,122675.16902474074
12/31/2003,122823.13254004762
1/31/2004,123193.37520803369
2/29/2004,124026.79035517888
3/31/2004,125346.08590209836
4/30/2004,126655.31046791386
5/31/2004,127737.1995774332
6/30/2004,128431.58941978174
7/31/2004,129080.68334030856
8/31/2004,129671.09777682624
9/30/2004,130337.7567066166
10/31/2004,130958.02791232769
11/30/2004,131512.9191237732
12/31/2004,131997.86778242714
1/31/2005,132514.36068844408
2/28/2005,132948.90436801675
3/31/2005,133336.1084268591
4/30/2005,133677.40396256206
5/31/2005,134048.6341518672
6/30/2005,134454.33374907475
7/31/2005,134813.3531947159
8/31/2005,135149.38752578144
9/30/2005,135485.80783847265
10/31/2005,135758.4768027477
11/30/2005,136077.14033129995
12/31/2005,136336.64720136547
1/31/2006,136549.60500427228
2/28/2006,136764.39521211313
3/31/2006,137025.45380498047
4/30/2006,137444.0212682204
5/31/2006,138016.59014614322
6/30/2006,138651.27138339196
7/31/2006,139284.18507391738
8/31/2006,139846.3480324516
9/30/2006,140444.17573566572
10/31/2006,141182.71607280444
11/30/2006,141890.0021530787
12/31/2006,142591.61177070442
1/31/2007,142961.95375561956
2/28/2007,143107.72762384047
3/31/2007,143089.49017414733
4/30/2007,143311.15858306948
5/31/2007,143716.56502573343
6/30/2007,144243.6826841907
7/31/2007,144714.08146282495
8/31/2007,145214.0443978569
9/30/2007,145706.73956718598
10/31/2007,146160.43756607376
11/30/2007,146538.48269391223
12/31/2007,146887.20174768378
1/31/2008,146746.25181114243
2/29/2008,146338.6756935521
3/31/2008,145738.56041645538
4/30/2008,145423.63866647135
5/31/2008,145197.96542009828
6/30/2008,144995.58155302043
7/31/2008,144828.2485851208
8/31/2008,144471.60266112853
9/30/2008,143955.57374280828
10/31/2008,143341.76185038933
11/30/2008,142739.57214198072
12/31/2008,142182.7254
1/31/2009,141676.0932986122
2/28/2009,141410.02962128798
3/31/2009,141300.85685610792
4/30/2009,141284.0118912592
5/31/2009,141283.82249132317
6/30/2009,141259.24950790207
7/31/2009,141270.34104716795
8/31/2009,141152.07866267624
9/30/2009,140996.03371176746
10/31/2009,140788.84958320143
11/30/2009,140832.30048301397
12/31/2009,140959.40910751044
1/31/2010,141021.16127706878
2/28/2010,141007.34149115413
3/31/2010,141032.78625686362
4/30/2010,141210.62799886614
5/31/2010,141416.00626473792
6/30/2010,141462.44771919612
7/31/2010,141211.7379786923
8/31/2010,140727.51252691375
9/30/2010,140153.94652433263
10/31/2010,139576.83281752272
11/30/2010,138978.13836365548
12/31/2010,138458.1040650489
1/31/2011,138006.21432933983
2/28/2011,137530.77057966468
3/31/2011,137063.55578090856
4/30/2011,136611.45674146185
5/31/2011,136253.41598965545
6/30/2011,135888.51379637656
7/31/2011,135685.99643712348
8/31/2011,135566.86131850813
9/30/2011,135524.2280035573
10/31/2011,135409.93141093184
11/30/2011,135196.29328040069
12/31/2011,134946.75236225626
1/31/2012,134832.48333923848
2/29/2012,134989.49072328815
3/31/2012,135269.35444687793
4/30/2012,135550.87843119176
5/31/2012,135865.1194247048
6/30/2012,136307.91092435413
7/31/2012,136809.75019843396
8/31/2012,137184.46587730464
9/30/2012,137505.73654481265
10/31/2012,137825.92789693695
11/30/2012,138195.4721784574
12/31/2012,138566.3803612745
1/31/2013,139084.18617904058
2/28/2013,139742.20504810827
3/31/2013,140522.0382971412
4/30/2013,141262.38403525783
5/31/2013,142107.3664374784
6/30/2013,143115.6535613374
7/31/2013,144083.30689141736
8/31/2013,145021.4115066549
9/30/2013,145753.61474989474
10/31/2013,146588.48882211922
11/30/2013,147353.22644019758
12/31/2013,148211.14814740626
1/31/2014,149218.73554558307
2/28/2014,150356.09455534315
3/31/2014,151503.49157133707
4/30/2014,152500.8744368383
5/31/2014,153511.19945509385
6/30/2014,154536.96221903633
7/31/2014,155705.10660259423
8/31/2014,156755.5670627209
9/30/2014,157681.73664903504
10/31/2014,158338.38734348517
11/30/2014,159168.26469125392
12/31/2014,160139.19140363063
1/31/2015,161354.20777855508
2/28/2015,162613.3815643062
3/31/2015,163844.39555976287
4/30/2015,164996.37864310507
5/31/2015,166098.54938165224
6/30/2015,167196.4143496326
7/31/2015,168337.90014683388
8/31/2015,169528.76651270193
9/30/2015,170743.04615490924
10/31/2015,171966.5579
11/30/2015,173044.03107405154
12/31/2015,174161.50681447043
1/31/2016,175358.1483483902
2/29/2016,176606.41514708396
3/31/2016,177526.9011
4/30/2016,178402.7397702815
5/31/2016,179247.9495384439
6/30/2016,180255.43967560452
7/31/2016,181095.2873816121
8/31/2016,181911.90242748757
9/30/2016,182845.6060675157
10/31/2016,183875.2435440896
11/30/2016,185033.68440672397
12/31/2016,186146.8372283761
1/31/2017,187242.0517001046
2/28/2017,188219.8919586311
3/31/2017,189262.635822764
4/30/2017,190416.9159
5/31/2017,191456.27403096203
6/30/2017,192393.0420568489
7/31/2017,193118.1264
8/31/2017,193886.7972942491
9/30/2017,194667.2989
10/31/2017,195598.1240306497
11/30/2017,196623.1820345684
12/31/2017,197761.27558278965
1/31/2018,198889.8614826016
2/28/2018,199916.7580256368
3/31/2018,201119.59407974163
4/30/2018,202245.0140539193
5/31/2018,203418.71610332144
6/30/2018,204310.07341953964
7/31/2018,205328.9478729244
8/31/2018,206245.53876956477
9/30/2018,207149.9804408756
10/31/2018,207839.77231938185
11/30/2018,208621.9731
12/31/2018,209491.71699594543
1/31/2019,210353.43141324687
2/28/2019,211112.85849306724
3/31/2019,211769.87766462576
4/30/2019,212324.7604706121
5/31/2019,212823.36451868905
6/30/2019,213307.0654789192
7/31/2019,213820.27371916737
8/31/2019,214435.41321494736
9/30/2019,215107.58987621567
10/31/2019,216007.42615979377
11/30/2019,217072.8669668571
12/31/2019,218232.98730477388
1/31/2020,219410.79229687536
2/29/2020,220550.2489118044
3/31/2020,221661.51898087055
4/30/2020,222462.63592733684
5/31/2020,222748.69259101272
6/30/2020,222919.9088687052
7/31/2020,223589.2099505985
8/31/2020,225043.12645433456
9/30/2020,227237.92676991576
10/31/2020,229715.00231389212
11/30/2020,232540.0236022966
12/31/2020,235277.0770579062
1/31/2021,238150.44548629565
2/28/2021,241211.07843035
3/31/2021,244676.36501029856
4/30/2021,248522.02872175715
5/31/2021,252923.00140969048
6/30/2021,257631.7765449474
7/31/2021,261951.6557395299
8/31/2021,265244.6275466842
9/30/2021,267651.86861449183
10/31/2021,270148.9566062295
11/30/2021,273382.0007988633
12/31/2021,277098.2894230976
1/31/2022,281987.5915934341
2/28/2022,287455.9286502457
3/31/2022,293639.32030517235
4/30/2022,299638.60909112985
5/31/2022,305152.9227144362
6/30/2022,309965.970704224
7/31/2022,312892.53213438083
8/31/2022,313811.2554804446
9/30/2022,313133.9630889751
10/31/2022,312165.5593
11/30/2022,311144.0497846683
12/31/2022,309831.47568062536
1/31/2023,308099.61885337275
2/28/2023,306452.7154803968
3/31/2023,305353.5057010309
4/30/2023,304974.1896533491
5/31/2023,305301.9275
6/30/2023,306152.28542774846
7/31/2023,306918.1103018305
8/31/2023,307512.3993294192
9/30/2023,307551.2821426452
10/31/2023,307315.2846
11/30/2023,306814.43621645594
12/31/2023,306195.78497392155
1/31/2024,305992.4820681963
2/29/2024,306258.4383580136
3/31/2024,307147.3390590703
4/30/2024,308019.5928973913
5/31/2024,308356.9801
6/30/2024,308121.1585992751
